tweet,polarity
finally caught up with the 21st century and signed us up to twitter    #staytuned,0.0
@user if we could get on the bus we would leave the car at home never can get on the bus  ,0.0
 @user leaving day at ih belfast!    #ihbelfast #studyni ,0.0
happy sunday everybody! #sunday  #bymodels    #sun #smile ,1.3
getting our puppy today   #3become4 #dory,0.0
@user finally. a normal healthy celeb body  ,0.325
#knit #crochet #stash #horde makes me     just wish i had more time for the #creativity  ,0.5
#beutiful poetry   poetry #2 lines poetry  #eid new poetry #tanhai poetry plz 1 try follow @user - alon sana jan follow @user,0.13636363636363635
this is how we like to live at     and #healthy  how about you? ,0.3181818181818182
"i'm glad i bought jumpers this summer, got to think of the winter. #scotland #winter #thesunisgone   #winteriscoming #hashtag",0.5
nowadays being nice means you're weak     #truth,0.11249999999999999
@user thanks for all the things you give me everyday...  #french #love   #hea #follow,0.125
 @user a very   #koala bear   ,0.2
this basically sums up what #brexit means #britains  #eurosceptic  #xenophobic #isolationist #tribalism ,0.0
#kimkardashian what do you think at this wife   #nyc,0.0
"this ruined my day... seriously, why did i have to read this?? and it's not even 4 am yet, wish me a hapy day    ",-0.3333333333333333
its do or die #nbafinals #nbaplayoffs #game6 #goldenstate #goldenstatewarriors #goodluck #tonight #wegotthis   #fan,0.0
"its official, tuesday 21st june's the day.....eek  #bigeventforme  ",0.0
 @user can not believe the sick things people do. #devil #sick #prayfororlando  ,-1.4285714285714286
#model   i love u take with u all the time in ur!!!   ,0.78125
hard to watch #colbe struggle through lame sketches & interviews w/guests he's not interested in.  #lssc #misstheoldcolbe  ,-0.3055555555555556
"@user @user you have no balls, lumpy. my girl was spot on. lumpy tony says i am a . prove it lumpy. bwahahahahaha",0.0
#buffalo   bull up you will dominate your bull and you will direct it whatever you want it to do. when you ,0.1
 @user i'm not sure that meickenhorst #knows what an #inspiration she is to #me!  so   that i ,-0.3125
#raw food diet benefits! -    #altwaystoheal #healthy   #healing #peace #joy #love !! ,0.3532051282051282
follow me on snapchat at awesomecutenes7 #snapchat #selfie #sad   #love #bff #yaaaaasss ,0.0
remember youth creator in de days of your youth b4 days of troubles came  youth day ,0.0
 @user we better wake up #sad #hu #feelthebern #love #family #lgbt #women #latino #gay #education #students #jobs   ht,0.22916666666666669
 @user   saturday @user  @user @user @user dinavalenz  @user kazzeymusic &lt;== #listen to,0.0
@user @user see now i would have expected the entire msr community to like and retweet this one.  ! @user @user,-0.05
" ""the animals, the animals trapped, trapped... 'til the cage is full the cage is full... and you've got timeee""    #oitnb @user",0.07499999999999998
 @user   bihday pkn 9 days to go @user @user @user  @user @user @user  ,0.0
another   and #tragic #news about #guns in the #us.... #rip #christinagrimmie ,-0.75
@user @user so wonderful to see an intelligent woman stand her ground against a condescending  jerk,0.9
 mindsconsole so true    #motivation,0.35
"@user ""all bodies are equal""  #bodyimage #body #appearance #women  #nudity #naked #naturism #beauty #nudist ",0.0
"@user well, i have a creeper and they send screenshots to people when the tweets aren't even about them lol.  ",0.8
i am thankful for tears. #thankful #positive     ,0.22727272727272727
going to wagner middle school to to a tour!  ,0.0
 @user i have missed radio next week back in the game cover shows coming up!!  @user @user #radiolife #missedit #,-0.20833333333333334
take control of your #life ! set #goals ! be   !  #lifestyle #fitness #health ,0.0
#pjk 42k suicides + an = number of overdoses #hr2646   #irrelevant #bill #thathelpsnoone #end #dentalcrisis ,-0.5
these two are my everything    fathersday  #dad #family #love #instamood ,0.5
"while i am eating breakfast, i hear the sad sounds of packing. this vacation has seemed shoer than the others.  ",-0.5
be good if you can  @user #saturday #life   #picstitch #pic #instamood #instahub ,0.7
white nationalist leader reveals 5 of his most horrifying hopes for #america  #usa  #haters @user,-0.13333333333333333
first day at btg tomorrow! #nervous  ,0.3125
ready to live this day as the last day of my life. lets staed !!! =d #sundaymorning   #folloback #retwet #mgwv #hoyesdiadefiesta,0.11212121212121212
#trump ally wishes mad cow disease death for #obama - cnn  #hatred #insults  ,-0.37916666666666665
let the sunshine...  #sunlight #sun #goodmood   #grillon #zen ,0.0
be   all that matters,0.0
so   for this #sale #online  head to  and score yourself a #deal  #itworks #bogo ,0.0
 @user foods for #healing your body!!    #doplants! #healthy is  !! ,0.625
 @user @user i hope you and the children are fully prepared and have a day of treats on the itinerary    ,0.0
live now girlfriend  #webcammodel #female #webcam #teen #army   #pussy,0.04545454545454545
moving house today with @user  #scary   #excited #newera,-0.0625
saw kozlov beat johnson yesterday. fritz and tiafoe get the hype but he's a good young talent. #merica ,0.39999999999999997
@user did you ever think we call him names because it's true? #conman #traitor #draftdodger  #coward ,0.35
spend the afternoon. you can't take it with you.    #positive #goodvibes #memyselfandi ,0.22727272727272727
let her keep you #full   #fed ,0.35
@user #flashbackfriday racist democrats falsely accuse latina nominee & raid her business  just to embarrass gop prez who ,-0.4000000000000001
#rip #pet #sistersdog #myphotography #porait   #photography #cute lowlight #instamood ,0.5
#think of all the #beauty still left #around you and be  . #annefrank ,0.0
"@user after trump, is the media normalizing the #kkk? | alternet  ",0.0
the immature @user is just trying to make a fool of @user   #xenophobe #immature #moron ,-0.8
#golf today for #fathersday #love #family   ,0.5
  to listen to my childhood #heroes! ,0.0
